"HBCx14_AC1","HBCx14_AC2","HBCx14_AC3","HBCx14_AC4","HBCx14_AC5","Symbol"
796,920,974,1106,1068,"TSPAN6"
0,0,1,0,0,"TNMD"
691,909,1074,1319,1376,"DPM1"
456,554,574,656,692,"SCYL3"
825,1054,1122,1357,1531,"C1orf112"
3,10,10,23,19,"FGR"
0,0,0,0,0,"CFH"
1801,2206,2524,3001,3148,"FUCA2"
571,710,863,990,1008,"GCLC"
623,814,1108,1326,1416,"NFYA"
203,162,220,263,278,"STPG1"
912,1241,1600,1639,1737,"NIPAL3"
1230,1538,1738,2101,2323,"LAS1L"
291,443,413,486,429,"ENPP4"
652,771,916,831,1028,"SEMA3F"
10,19,11,12,16,"CFTR"
1097,1613,2126,2484,2265,"ANKIB1"
40,45,47,71,62,"CYP51A1"
163,225,208,274,271,"KRIT1"
466,688,669,847,850,"RAD52"
4,7,8,14,12,"MYH16"
317,387,485,464,518,"BAD"
443,630,771,1157,1078,"LAP3"
0,0,0,0,0,"CD99"
24,40,54,65,86,"HS3ST1"
1,2,2,4,3,"AOC1"
1,1,2,2,0,"WNT16"
1,2,2,1,1,"HECW1"
8,2,0,9,5,"MAD1L1"
4664,5700,6662,7143,7217,"LASP1"
222,276,291,352,375,"SNX11"
3,2,2,1,3,"TMEM176A"
2938,3730,4462,5497,5402,"M6PR"
146,182,165,229,211,"KLHL13"
9,16,37,29,48,"CYP26B1"
561,605,653,750,770,"ICA1"
819,856,1188,1224,1348,"DBNDD1"
230,341,415,479,427,"ALS2"
15,22,47,20,23,"CASP10"
1901,2749,3050,3866,3599,"CFLAR"
17,21,35,25,30,"TFPI"
505,714,746,886,973,"NDUFAF7"
1177,1688,2105,2228,2128,"RBM5"
4,7,6,11,6,"MTMR7"
7,4,16,29,13,"SLC7A2"
868,1166,1304,1475,1560,"ARF5"
647,816,927,1053,1189,"SARM1"
1401,1825,2101,2198,2554,"POLDIP2"
1257,1458,2053,2136,2289,"PLXND1"
4026,5439,6321,7499,8029,"AK2"
7,6,7,12,10,"CD38"
6733,8813,12804,14744,16212,"FKBP4"
3154,3919,4862,5362,5970,"KDM1A"
1242,1524,1957,2432,2153,"RBM6"
204,231,290,306,352,"CAMKK1"
662,953,1139,1207,1147,"RECQL"
422,565,671,802,733,"VPS50"
0,2,7,4,6,"HSPB6"
