"HBCx14_Carboplatin1","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","Symbol"
858,935,1211,1185,1229,"TSPAN6"
0,1,0,0,0,"TNMD"
937,941,1245,1305,1135,"DPM1"
544,471,615,585,612,"SCYL3"
1265,1126,1675,1664,1504,"C1orf112"
12,21,20,16,14,"FGR"
0,0,4,0,2,"CFH"
2420,2236,3074,3146,3235,"FUCA2"
792,759,1033,1072,1003,"GCLC"
1132,760,1649,1211,1085,"NFYA"
208,147,306,298,215,"STPG1"
1520,1196,1871,1695,1596,"NIPAL3"
1760,1410,2396,2242,1996,"LAS1L"
367,381,470,502,451,"ENPP4"
871,646,981,1030,1099,"SEMA3F"
19,5,21,14,16,"CFTR"
1877,1216,2337,2059,1593,"ANKIB1"
44,40,51,60,47,"CYP51A1"
208,207,313,242,263,"KRIT1"
675,517,895,773,725,"RAD52"
16,9,17,8,11,"MYH16"
437,452,628,521,647,"BAD"
837,549,999,892,618,"LAP3"
0,0,0,0,0,"CD99"
56,41,76,46,40,"HS3ST1"
2,0,5,6,0,"AOC1"
0,0,3,4,2,"WNT16"
0,2,1,1,2,"HECW1"
5,3,13,3,6,"MAD1L1"
5813,4637,7966,7648,7123,"LASP1"
305,244,406,359,319,"SNX11"
4,3,1,4,1,"TMEM176A"
4184,3298,5199,4885,4524,"M6PR"
169,169,226,286,197,"KLHL13"
23,28,38,33,35,"CYP26B1"
668,555,813,778,756,"ICA1"
908,835,1262,1312,1313,"DBNDD1"
387,264,466,369,354,"ALS2"
37,10,48,32,24,"CASP10"
3040,2152,4068,3379,2856,"CFLAR"
16,21,32,26,28,"TFPI"
781,620,916,922,909,"NDUFAF7"
1895,1587,2437,2080,2052,"RBM5"
2,8,5,3,2,"MTMR7"
9,17,9,14,7,"SLC7A2"
1148,1139,1630,1498,1682,"ARF5"
914,790,999,1043,976,"SARM1"
1764,1977,2392,2299,2321,"POLDIP2"
1779,1629,2366,2118,2310,"PLXND1"
6117,5285,7783,7556,7031,"AK2"
8,1,2,10,4,"CD38"
11873,8650,16670,12654,12396,"FKBP4"
4534,4464,6239,6345,5827,"KDM1A"
1928,1450,2300,2087,1956,"RBM6"
303,214,332,240,310,"CAMKK1"
1188,776,1323,1297,1124,"RECQL"
614,558,865,769,624,"VPS50"
2,2,1,4,3,"HSPB6"
1828,1995,2511,2517,3506,"ARHGAP33"
875,1245,1123,1112,1162,"NDUFAB1"
27,49,20,53,26,"PDK4"
4,0,8,2,5,"SLC22A16"
23,22,22,16,34,"ZMYND10"
0,1,1,5,1,"ABCB5"
4,12,23,12,9,"ARX"
1431,1298,1749,1825,1629,"SLC25A13"
564,461,740,636,624,"ST7"
892,776,1155,1122,1015,"CDC27"
2,3,1,2,1,"SLC4A1"
0,0,0,0,0,"CALCR"
443,429,635,659,607,"HCCS"
1196,1085,1573,1410,1434,"DVL2"
421,213,719,342,343,"PRSS22"
5726,5680,8286,7404,7062,"UPF1"
171,202,201,213,257,"SKAP2"
3083,4151,4470,4510,4823,"SLC25A5"
673,537,870,832,701,"MCUB"
39,7,33,49,32,"HOXA11"
783,827,1143,1035,1105,"POLR2J"
1156,950,1462,1477,1102,"DHX33"
371,242,424,452,335,"MEOX1"
0,1,0,0,1,"THSD7A"
741,552,996,870,759,"LIG3"
527,524,708,649,598,"RPAP3"
243,228,260,318,245,"ACSM3"
267,257,321,381,343,"REXO5"
951,863,1291,1165,1172,"CIAPIN1"
2804,2639,3564,3494,3963,"SPPL2B"
382,434,512,576,613,"FAM214B"
15,8,7,11,13,"COPZ2"
946,1322,1287,1154,1089,"PRKAR2B"
774,731,1061,931,939,"MSL3"
2805,2529,3694,3309,3095,"CREBBP"
1159,856,1518,1395,1322,"TSPOAP1"
0,0,3,0,0,"MPO"
1,3,1,5,2,"PON1"
447,397,568,642,545,"GCFC2"
77,70,89,98,93,"WDR54"
185,157,230,213,205,"CROT"
0,1,2,1,2,"ABCB4"
2517,2178,2961,2937,2402,"KMT2E"
1201,1395,1449,1457,1749,"RHBDD2"
39,80,67,51,90,"SOX8"
654,575,871,779,733,"IBTK"
1748,1142,2356,1818,1719,"ZNF195"
1387,981,1541,1431,1260,"MYCBP2"
1108,993,1489,1344,1320,"FBXL3"
26,18,34,18,25,"ITGAL"
407,582,424,463,544,"PDK2"
374,160,431,320,248,"ITGA3"
474,367,526,478,425,"ZFX"
3487,3090,4711,4229,4030,"LAMP2"
276,232,320,320,376,"ITGA2B"
2,2,0,2,0,"ASB4"
1127,1171,1579,1495,1563,"GDE1"
772,668,1002,900,962,"REX1BD"
52,61,96,68,90,"CRLF1"
332,310,442,393,472,"OSBPL7"
961,770,1184,1197,1200,"TMEM98"
309,274,413,389,401,"YBX2"
1,0,0,0,2,"KRT33A"
368,386,547,500,498,"MAP3K14"
1,0,3,1,1,"ABCC8"
0,0,0,0,0,"CACNG3"
7180,5459,10877,8187,8062,"TMEM132A"
