"HBCx14_Cisplatin1","HBCx14_Cisplatin2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","Symbol"
872,805,1147,1186,963,"TSPAN6"
0,6,0,0,0,"TNMD"
978,872,1020,1192,985,"DPM1"
548,431,545,718,479,"SCYL3"
1089,848,1163,1402,1202,"C1orf112"
7,11,11,12,13,"FGR"
1,1,0,2,0,"CFH"
2447,2292,2928,3199,2705,"FUCA2"
895,670,896,1023,906,"GCLC"
1120,671,1012,1317,1165,"NFYA"
242,190,233,290,231,"STPG1"
1494,1062,1375,1898,1471,"NIPAL3"
1630,1378,1630,1914,1666,"LAS1L"
426,388,497,603,419,"ENPP4"
971,724,954,1214,812,"SEMA3F"
14,11,19,12,13,"CFTR"
2066,1269,1883,2414,1765,"ANKIB1"
41,58,42,67,71,"CYP51A1"
218,168,220,277,206,"KRIT1"
778,627,854,985,718,"RAD52"
15,14,13,11,10,"MYH16"
366,385,503,591,405,"BAD"
1306,676,1153,1090,924,"LAP3"
0,0,0,0,0,"CD99"
44,68,77,45,56,"HS3ST1"
1,2,0,4,0,"AOC1"
3,3,0,4,3,"WNT16"
1,1,1,3,3,"HECW1"
7,3,5,8,4,"MAD1L1"
5855,5075,6890,9327,6238,"LASP1"
283,312,374,361,292,"SNX11"
1,2,7,5,5,"TMEM176A"
4371,3419,4709,5645,4504,"M6PR"
121,142,164,198,212,"KLHL13"
38,13,11,26,19,"CYP26B1"
608,589,754,852,625,"ICA1"
932,905,1080,1432,1163,"DBNDD1"
422,304,381,456,371,"ALS2"
26,18,30,36,22,"CASP10"
3202,2421,3521,4081,3004,"CFLAR"
23,34,21,20,19,"TFPI"
785,572,826,921,758,"NDUFAF7"
1950,1524,1869,2231,1830,"RBM5"
9,3,5,7,3,"MTMR7"
8,8,6,10,9,"SLC7A2"
1143,1314,1386,1567,1301,"ARF5"
837,797,1039,1341,846,"SARM1"
1878,1743,2054,2264,1913,"POLDIP2"
1719,1477,1588,2372,1751,"PLXND1"
6026,4640,6229,7396,5911,"AK2"
10,5,19,5,3,"CD38"
10804,7401,9608,15303,11680,"FKBP4"
4257,3382,4258,5287,4872,"KDM1A"
1786,1394,1853,2464,1891,"RBM6"
287,233,222,353,292,"CAMKK1"
1084,693,1098,1489,1195,"RECQL"
615,483,635,870,586,"VPS50"
2,2,3,7,3,"HSPB6"
1386,1570,1741,1935,1500,"ARHGAP33"
998,867,963,1035,981,"NDUFAB1"
48,38,40,81,46,"PDK4"
5,3,6,7,7,"SLC22A16"
16,21,24,17,21,"ZMYND10"
0,0,0,1,3,"ABCB5"
19,6,13,37,8,"ARX"
1261,1103,1394,1675,1269,"SLC25A13"
611,516,614,699,505,"ST7"
907,659,887,1261,1001,"CDC27"
0,0,0,1,1,"SLC4A1"
0,0,0,0,0,"CALCR"
456,409,501,595,503,"HCCS"
1131,1060,1248,1609,1067,"DVL2"
419,360,472,617,318,"PRSS22"
6402,5558,6384,7687,6266,"UPF1"
166,186,231,202,253,"SKAP2"
3088,3211,3621,3948,3600,"SLC25A5"
737,624,792,1025,781,"MCUB"
19,17,25,56,51,"HOXA11"
747,858,927,1031,806,"POLR2J"
1222,870,1098,1394,1174,"DHX33"
285,152,282,548,353,"MEOX1"
0,0,1,0,0,"THSD7A"
817,573,779,996,941,"LIG3"
528,405,582,641,545,"RPAP3"
244,179,259,359,187,"ACSM3"
226,206,235,247,256,"REXO5"
945,844,1033,1158,1000,"CIAPIN1"
2409,2532,3061,3053,2370,"SPPL2B"
