"HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_chemonaive3","Symbol"
1740,1655,1988,"TSPAN6"
2,0,0,"TNMD"
1429,1549,2149,"DPM1"
1036,948,992,"SCYL3"
1676,1575,2174,"C1orf112"
4,6,10,"FGR"
0,0,0,"CFH"
4210,4307,5085,"FUCA2"
1416,1511,1822,"GCLC"
1723,1920,2165,"NFYA"
417,369,451,"STPG1"
2509,2532,2922,"NIPAL3"
2522,2387,3128,"LAS1L"
1073,1111,1162,"ENPP4"
1467,1373,2132,"SEMA3F"
13,14,11,"CFTR"
2784,3275,3795,"ANKIB1"
190,174,276,"CYP51A1"
340,346,443,"KRIT1"
1194,1254,1811,"RAD52"
6,10,7,"MYH16"
682,668,829,"BAD"
685,650,896,"LAP3"
0,0,0,"CD99"
76,67,86,"HS3ST1"
2,2,0,"AOC1"
0,0,4,"WNT16"
1,1,0,"HECW1"
8,11,8,"MAD1L1"
11580,12099,13697,"LASP1"
603,551,685,"SNX11"
0,1,2,"TMEM176A"
6041,7123,8702,"M6PR"
366,420,670,"KLHL13"
9,11,6,"CYP26B1"
1367,1432,1638,"ICA1"
2364,2166,3216,"DBNDD1"
710,754,931,"ALS2"
26,32,10,"CASP10"
4000,4142,4765,"CFLAR"
72,56,35,"TFPI"
1204,1313,1594,"NDUFAF7"
2898,2879,3457,"RBM5"
4,4,1,"MTMR7"
12,8,5,"SLC7A2"
2140,2148,2500,"ARF5"
1606,1623,1874,"SARM1"
2625,2629,3513,"POLDIP2"
2192,2437,3145,"PLXND1"
8952,10071,12448,"AK2"
6,1,13,"CD38"
12122,16198,21145,"FKBP4"
8049,8114,10930,"KDM1A"
2904,3022,3591,"RBM6"
370,418,487,"CAMKK1"
1844,2109,2255,"RECQL"
926,895,1173,"VPS50"
6,1,6,"HSPB6"
4112,2796,4219,"ARHGAP33"
1190,1265,1848,"NDUFAB1"
33,28,13,"PDK4"
8,7,2,"SLC22A16"
64,39,53,"ZMYND10"
1,0,1,"ABCB5"
30,27,17,"ARX"
2534,2353,3294,"SLC25A13"
864,924,1310,"ST7"
1732,1961,2415,"CDC27"
2,2,0,"SLC4A1"
0,0,0,"CALCR"
571,664,827,"HCCS"
2086,1867,2395,"DVL2"
617,472,669,"PRSS22"
8165,8598,11920,"UPF1"
103,117,145,"SKAP2"
5584,5352,7097,"SLC25A5"
1424,1782,2204,"MCUB"
33,73,70,"HOXA11"
1419,1348,1988,"POLR2J"
2014,2023,2409,"DHX33"
565,635,1009,"MEOX1"
0,0,3,"THSD7A"
1561,1769,2192,"LIG3"
825,820,1185,"RPAP3"
355,467,665,"ACSM3"
346,269,386,"REXO5"
1437,1481,1900,"CIAPIN1"
4318,3600,4646,"SPPL2B"
340,407,426,"FAM214B"
9,13,8,"COPZ2"
1415,1353,1605,"PRKAR2B"
1403,1432,1729,"MSL3"
3929,3946,5533,"CREBBP"
1807,1521,1637,"TSPOAP1"
0,0,0,"MPO"
2,2,2,"PON1"
983,991,1179,"GCFC2"
209,158,204,"WDR54"
