"Symbol","HBCx10_chemonaive1","HBCx10_chemonaive2","HBCx10_chemonaive3","HBCx10_chemonaive4","HBCx10_chemonaive5","HBCx10_chemonaive6","HBCx10_chemonaive7","HBCx10_chemonaive8"
"A1BG",31,21,20,28,24,34,14,22
"A1CF",5,5,5,5,5,5,5,5
"A2BP1",5,5,5,5,5,5,5,5
"A2LD1",35,34,37,34,40,47,30,32
"A2M",1343,1124,643,955,366,602,1000,579
"A2ML1",63,60,46,43,65,64,51,51
"A4GALT",5,5,5,5,5,5,5,5
"A4GNT",5,5,5,5,5,5,5,5
"AAA1",5,5,5,5,5,5,5,5
"AAAS",17,23,22,18,19,18,16,18
"AACS",327,401,290,273,195,251,237,285
"AACSL",5,5,5,5,5,5,5,5
"AADAC",5,5,5,5,5,5,5,5
"AADACL2",5,5,5,5,5,5,5,5
"AADAT",7,7,7,7,6,7,8,11
"AAGAB",57,53,56,56,56,53,53,54
"AAK1",5,5,5,5,5,5,5,5
"AAMP",133,108,122,120,98,83,105,91
"AANAT",5,5,5,5,5,5,5,5
"AARS",469,484,413,366,424,349,370,357
"AARS2",18,24,25,25,20,20,20,20
"AARSD1",5,5,5,5,5,5,5,5
"AASDH",102,134,119,131,162,147,126,136
"AASDHPPT",439,400,450,440,481,418,430,438
"AASS",5,5,5,5,5,5,5,5
"AATF",387,381,395,431,364,330,341,348
"AATK",24,24,23,24,21,22,18,24
"ABAT",5,5,5,5,5,5,5,5
"ABCA1",7,7,7,7,8,7,8,7
"ABCA11P",5,6,6,5,5,5,5,5
"ABCA12",5,5,5,5,5,5,5,5
"ABCA13",5,5,5,5,5,5,5,5
"ABCA17P",16,21,18,19,15,12,10,15
"ABCA2",5,5,5,5,5,5,5,5
"ABCA3",142,141,129,109,120,133,110,148
"ABCA4",5,5,5,5,5,5,5,5
"ABCA5",6,8,6,6,9,8,5,6
"ABCA6",5,5,5,5,5,5,5,5
"ABCA7",29,23,23,21,23,27,23,23
"ABCA8",5,5,5,5,5,5,5,5
"ABCA9",5,5,5,5,5,5,5,5
"ABCB1",5,5,5,5,5,5,5,5
"ABCB10",254,215,227,224,209,232,276,241
"ABCB11",5,5,5,5,5,5,5,5
"ABCB4",5,5,5,5,5,5,5,5
"ABCB5",5,5,5,5,5,5,5,5
"ABCB6",15,15,12,12,13,12,12,11
"ABCB7",283,296,278,266,317,270,281,295
"ABCB8",5,5,5,5,5,5,5,5
"ABCB9",9,8,8,8,8,8,8,8
"ABCC1",98,97,94,96,100,109,96,115
"ABCC10",47,34,42,40,44,43,36,42
"ABCC11",5,5,5,5,5,5,5,5
"ABCC12",5,5,5,5,5,5,5,5
"ABCC13",5,5,5,5,5,5,5,5
"ABCC2",5,5,5,5,5,5,5,5
"ABCC3",5,5,5,5,5,5,5,5
"ABCC4",5,5,5,5,5,5,5,5
"ABCC5",10,10,10,10,10,9,10,9
"ABCC6",5,5,5,5,5,5,5,5
"ABCC6P1",5,5,5,5,5,5,5,5
"ABCC8",5,5,5,5,5,5,5,5
"ABCC9",5,5,5,5,5,5,5,5
"ABCD1",13,13,13,13,13,10,13,13
"ABCD2",5,5,5,5,5,5,5,5
"ABCD3",174,164,178,166,177,164,206,172
