"Symbol","HBCx33_chemonaive1","HBCx33_chemonaive2","HBCx33_chemonaive3","HBCx33_chemonaive4","HBCx33_chemonaive5","HBCx33_chemonaive6","HBCx33_chemonaive7"
"37316",108,88,99,74,63,87,93
"37500",4517,4628,4411,5234,4291,4628,4455
"37865",120,119,103,132,113,126,98
"38231",12,9,14,15,13,12,12
"38596",35,35,35,34,35,37,39
"38961",28,50,23,45,40,45,26
"39326",1997,1992,1946,1977,1952,2132,1786
"39692",147,151,180,165,155,174,169
"40057",2238,2555,2493,2761,2767,2337,2270
"40422",1152,1477,1099,1344,1275,1270,1166
"40787",836,803,757,897,762,807,819
"42248",6208,6097,6123,5203,5808,6271,5928
"A1BG",45,52,45,71,45,51,51
"A2M",5,5,5,5,5,5,5
"A2ML1",22,18,16,30,35,20,14
"AACS",137,125,141,184,135,121,116
"AADAT",127,94,111,126,85,135,119
"AAGAB",460,570,563,538,555,531,485
"AAK1",222,277,258,277,231,260,272
"AAMP",640,551,683,609,546,543,550
"AARS",614,815,652,746,660,657,772
"AARS2",106,96,105,112,95,92,94
"AARSD1",147,110,138,131,92,124,131
"AASDH",221,170,185,156,162,192,203
"AASDHPPT",1203,1193,1305,1238,1223,1202,1173
"AASS",6,10,16,6,10,10,9
"AATF",647,748,777,786,671,668,661
"ABAT",70,50,49,60,56,62,76
"ABCA1",19,40,32,22,33,31,30
"ABCA11P",353,243,262,248,258,276,237
"ABCA13",39,35,38,29,30,38,32
"ABCA3",103,142,108,145,143,103,103
"ABCA4",5,5,5,5,5,5,6
"ABCB10",883,888,978,789,966,780,796
"ABCB6",59,59,72,91,54,70,67
"ABCB7",720,655,625,623,565,709,696
"ABCB8",17,17,23,18,17,17,17
"ABCC1",496,498,442,490,561,456,460
"ABCC10",273,388,356,392,346,311,298
"ABCC4",296,290,247,297,313,291,243
"ABCC5",112,69,72,104,72,86,87
"ABCD3",6188,7087,6959,4854,7542,7267,6699
"ABCD4",44,42,44,45,44,44,42
"ABCE1",1706,1513,1685,1609,1471,1575,1563
"ABCF1",773,874,920,1026,977,946,917
"ABCF2",375,415,441,465,398,290,371
"ABCF3",47,33,31,36,37,39,30
"ABCG1",38,95,57,27,82,79,54
"ABCG5",12,8,20,12,8,8,9
"ABHD10",487,431,461,439,455,398,422
"ABHD11",362,344,345,417,324,335,343
"ABHD12",119,115,107,109,97,127,113
"ABHD13",109,95,84,79,99,84,84
"ABHD14A",24,16,18,21,16,18,18
"ABHD14B",153,129,115,148,105,108,97
"ABHD15",57,67,57,54,47,55,43
"ABHD16A",422,416,490,523,404,445,418
"ABHD2",268,327,307,339,333,320,349
"ABHD3",622,678,736,604,489,675,662
"ABHD5",228,177,227,208,149,185,175
"ABHD6",9,9,9,9,9,10,18
"ABI1",1647,1693,1572,1334,1637,1645,1563
"ABI2",1874,1612,1705,1528,1661,1772,1787
"ABL1",202,203,238,263,265,214,211
"ABL2",232,224,240,297,205,214,256
"ABLIM1",1020,1534,1088,1213,1259,1123,1233
"ABLIM2",7,10,10,10,10,11,10
"ABR",771,772,845,812,789,811,694
"ABT1",141,113,124,144,120,132,153
"ABTB2",25,30,31,38,35,30,31
"ACAA1",334,287,338,328,304,366,332
"ACAA2",1318,1389,1503,1489,1206,1399,1373
"ACACA",275,274,304,331,298,294,267
"ACACB",36,32,27,21,48,46,53
"ACAD10",13,13,13,13,13,13,12
"ACAD8",75,92,106,82,130,119,90
"ACAD9",227,207,220,226,208,229,224
