"HBCx14_AC1","HBCx14_chemonaive1","HBCx14_AC2","HBCx14_chemonaive2","HBCx14_AC3","HBCx14_AC4","HBCx14_chemonaive3","HBCx14_AC5","Symbol"
796,1740,920,1655,974,1106,1988,1068,"TSPAN6"
0,2,0,0,1,0,0,0,"TNMD"
691,1429,909,1549,1074,1319,2149,1376,"DPM1"
456,1036,554,948,574,656,992,692,"SCYL3"
825,1676,1054,1575,1122,1357,2174,1531,"C1orf112"
3,4,10,6,10,23,10,19,"FGR"
0,0,0,0,0,0,0,0,"CFH"
1801,4210,2206,4307,2524,3001,5085,3148,"FUCA2"
571,1416,710,1511,863,990,1822,1008,"GCLC"
623,1723,814,1920,1108,1326,2165,1416,"NFYA"
203,417,162,369,220,263,451,278,"STPG1"
912,2509,1241,2532,1600,1639,2922,1737,"NIPAL3"
1230,2522,1538,2387,1738,2101,3128,2323,"LAS1L"
291,1073,443,1111,413,486,1162,429,"ENPP4"
652,1467,771,1373,916,831,2132,1028,"SEMA3F"
10,13,19,14,11,12,11,16,"CFTR"
1097,2784,1613,3275,2126,2484,3795,2265,"ANKIB1"
40,190,45,174,47,71,276,62,"CYP51A1"
163,340,225,346,208,274,443,271,"KRIT1"
466,1194,688,1254,669,847,1811,850,"RAD52"
4,6,7,10,8,14,7,12,"MYH16"
317,682,387,668,485,464,829,518,"BAD"
443,685,630,650,771,1157,896,1078,"LAP3"
0,0,0,0,0,0,0,0,"CD99"
24,76,40,67,54,65,86,86,"HS3ST1"
1,2,2,2,2,4,0,3,"AOC1"
1,0,1,0,2,2,4,0,"WNT16"
1,1,2,1,2,1,0,1,"HECW1"
8,8,2,11,0,9,8,5,"MAD1L1"
4664,11580,5700,12099,6662,7143,13697,7217,"LASP1"
222,603,276,551,291,352,685,375,"SNX11"
3,0,2,1,2,1,2,3,"TMEM176A"
2938,6041,3730,7123,4462,5497,8702,5402,"M6PR"
146,366,182,420,165,229,670,211,"KLHL13"
9,9,16,11,37,29,6,48,"CYP26B1"
561,1367,605,1432,653,750,1638,770,"ICA1"
819,2364,856,2166,1188,1224,3216,1348,"DBNDD1"
230,710,341,754,415,479,931,427,"ALS2"
15,26,22,32,47,20,10,23,"CASP10"
1901,4000,2749,4142,3050,3866,4765,3599,"CFLAR"
17,72,21,56,35,25,35,30,"TFPI"
505,1204,714,1313,746,886,1594,973,"NDUFAF7"
1177,2898,1688,2879,2105,2228,3457,2128,"RBM5"
4,4,7,4,6,11,1,6,"MTMR7"
7,12,4,8,16,29,5,13,"SLC7A2"
