"HBCx14_Carboplatin1","HBCx14_chemonaive1","HBCx14_chemonaive2","HBCx14_Carboplatin2","HBCx14_Carboplatin3","HBCx14_Carboplatin4","HBCx14_Carboplatin5","HBCx14_chemonaive3","Symbol"
858,1740,1655,935,1211,1185,1229,1988,"TSPAN6"
0,2,0,1,0,0,0,0,"TNMD"
937,1429,1549,941,1245,1305,1135,2149,"DPM1"
544,1036,948,471,615,585,612,992,"SCYL3"
1265,1676,1575,1126,1675,1664,1504,2174,"C1orf112"
12,4,6,21,20,16,14,10,"FGR"
0,0,0,0,4,0,2,0,"CFH"
2420,4210,4307,2236,3074,3146,3235,5085,"FUCA2"
792,1416,1511,759,1033,1072,1003,1822,"GCLC"
1132,1723,1920,760,1649,1211,1085,2165,"NFYA"
208,417,369,147,306,298,215,451,"STPG1"
1520,2509,2532,1196,1871,1695,1596,2922,"NIPAL3"
1760,2522,2387,1410,2396,2242,1996,3128,"LAS1L"
367,1073,1111,381,470,502,451,1162,"ENPP4"
871,1467,1373,646,981,1030,1099,2132,"SEMA3F"
19,13,14,5,21,14,16,11,"CFTR"
1877,2784,3275,1216,2337,2059,1593,3795,"ANKIB1"
44,190,174,40,51,60,47,276,"CYP51A1"
208,340,346,207,313,242,263,443,"KRIT1"
675,1194,1254,517,895,773,725,1811,"RAD52"
16,6,10,9,17,8,11,7,"MYH16"
437,682,668,452,628,521,647,829,"BAD"
837,685,650,549,999,892,618,896,"LAP3"
0,0,0,0,0,0,0,0,"CD99"
56,76,67,41,76,46,40,86,"HS3ST1"
2,2,2,0,5,6,0,0,"AOC1"
0,0,0,0,3,4,2,4,"WNT16"
0,1,1,2,1,1,2,0,"HECW1"
5,8,11,3,13,3,6,8,"MAD1L1"
5813,11580,12099,4637,7966,7648,7123,13697,"LASP1"
305,603,551,244,406,359,319,685,"SNX11"
4,0,1,3,1,4,1,2,"TMEM176A"
4184,6041,7123,3298,5199,4885,4524,8702,"M6PR"
169,366,420,169,226,286,197,670,"KLHL13"
23,9,11,28,38,33,35,6,"CYP26B1"
668,1367,1432,555,813,778,756,1638,"ICA1"
908,2364,2166,835,1262,1312,1313,3216,"DBNDD1"
387,710,754,264,466,369,354,931,"ALS2"
37,26,32,10,48,32,24,10,"CASP10"
