"HBCx14_Cisplatin1","HBCx14_chemonaive1","HBCx14_Cisplatin2","HBCx14_chemonaive2","HBCx14_Cisplatin3","HBCx14_Cisplatin4","HBCx14_Cisplatin5","HBCx14_chemonaive3","Symbol"
872,1740,805,1655,1147,1186,963,1988,"TSPAN6"
0,2,6,0,0,0,0,0,"TNMD"
978,1429,872,1549,1020,1192,985,2149,"DPM1"
548,1036,431,948,545,718,479,992,"SCYL3"
1089,1676,848,1575,1163,1402,1202,2174,"C1orf112"
7,4,11,6,11,12,13,10,"FGR"
1,0,1,0,0,2,0,0,"CFH"
2447,4210,2292,4307,2928,3199,2705,5085,"FUCA2"
895,1416,670,1511,896,1023,906,1822,"GCLC"
1120,1723,671,1920,1012,1317,1165,2165,"NFYA"
242,417,190,369,233,290,231,451,"STPG1"
1494,2509,1062,2532,1375,1898,1471,2922,"NIPAL3"
1630,2522,1378,2387,1630,1914,1666,3128,"LAS1L"
426,1073,388,1111,497,603,419,1162,"ENPP4"
971,1467,724,1373,954,1214,812,2132,"SEMA3F"
14,13,11,14,19,12,13,11,"CFTR"
2066,2784,1269,3275,1883,2414,1765,3795,"ANKIB1"
41,190,58,174,42,67,71,276,"CYP51A1"
218,340,168,346,220,277,206,443,"KRIT1"
778,1194,627,1254,854,985,718,1811,"RAD52"
15,6,14,10,13,11,10,7,"MYH16"
366,682,385,668,503,591,405,829,"BAD"
1306,685,676,650,1153,1090,924,896,"LAP3"
0,0,0,0,0,0,0,0,"CD99"
44,76,68,67,77,45,56,86,"HS3ST1"
1,2,2,2,0,4,0,0,"AOC1"
3,0,3,0,0,4,3,4,"WNT16"
1,1,1,1,1,3,3,0,"HECW1"
7,8,3,11,5,8,4,8,"MAD1L1"
5855,11580,5075,12099,6890,9327,6238,13697,"LASP1"
283,603,312,551,374,361,292,685,"SNX11"
1,0,2,1,7,5,5,2,"TMEM176A"
4371,6041,3419,7123,4709,5645,4504,8702,"M6PR"
121,366,142,420,164,198,212,670,"KLHL13"
38,9,13,11,11,26,19,6,"CYP26B1"
608,1367,589,1432,754,852,625,1638,"ICA1"
932,2364,905,2166,1080,1432,1163,3216,"DBNDD1"
422,710,304,754,381,456,371,931,"ALS2"
26,26,18,32,30,36,22,10,"CASP10"
3202,4000,2421,4142,3521,4081,3004,4765,"CFLAR"
23,72,34,56,21,20,19,35,"TFPI"
785,1204,572,1313,826,921,758,1594,"NDUFAF7"
1950,2898,1524,2879,1869,2231,1830,3457,"RBM5"
9,4,3,4,5,7,3,1,"MTMR7"
8,12,8,8,6,10,9,5,"SLC7A2"
1143,2140,1314,2148,1386,1567,1301,2500,"ARF5"
837,1606,797,1623,1039,1341,846,1874,"SARM1"
1878,2625,1743,2629,2054,2264,1913,3513,"POLDIP2"
1719,2192,1477,2437,1588,2372,1751,3145,"PLXND1"
6026,8952,4640,10071,6229,7396,5911,12448,"AK2"
10,6,5,1,19,5,3,13,"CD38"
10804,12122,7401,16198,9608,15303,11680,21145,"FKBP4"
4257,8049,3382,8114,4258,5287,4872,10930,"KDM1A"
1786,2904,1394,3022,1853,2464,1891,3591,"RBM6"
287,370,233,418,222,353,292,487,"CAMKK1"
1084,1844,693,2109,1098,1489,1195,2255,"RECQL"
615,926,483,895,635,870,586,1173,"VPS50"
2,6,2,1,3,7,3,6,"HSPB6"
1386,4112,1570,2796,1741,1935,1500,4219,"ARHGAP33"
998,1190,867,1265,963,1035,981,1848,"NDUFAB1"
48,33,38,28,40,81,46,13,"PDK4"
5,8,3,7,6,7,7,2,"SLC22A16"
16,64,21,39,24,17,21,53,"ZMYND10"
0,1,0,0,0,1,3,1,"ABCB5"
19,30,6,27,13,37,8,17,"ARX"
1261,2534,1103,2353,1394,1675,1269,3294,"SLC25A13"
611,864,516,924,614,699,505,1310,"ST7"
907,1732,659,1961,887,1261,1001,2415,"CDC27"
0,2,0,2,0,1,1,0,"SLC4A1"
0,0,0,0,0,0,0,0,"CALCR"
456,571,409,664,501,595,503,827,"HCCS"
1131,2086,1060,1867,1248,1609,1067,2395,"DVL2"
419,617,360,472,472,617,318,669,"PRSS22"
6402,8165,5558,8598,6384,7687,6266,11920,"UPF1"
166,103,186,117,231,202,253,145,"SKAP2"
3088,5584,3211,5352,3621,3948,3600,7097,"SLC25A5"
737,1424,624,1782,792,1025,781,2204,"MCUB"
19,33,17,73,25,56,51,70,"HOXA11"
747,1419,858,1348,927,1031,806,1988,"POLR2J"
1222,2014,870,2023,1098,1394,1174,2409,"DHX33"
285,565,152,635,282,548,353,1009,"MEOX1"
0,0,0,0,1,0,0,3,"THSD7A"
817,1561,573,1769,779,996,941,2192,"LIG3"
528,825,405,820,582,641,545,1185,"RPAP3"
244,355,179,467,259,359,187,665,"ACSM3"
226,346,206,269,235,247,256,386,"REXO5"
945,1437,844,1481,1033,1158,1000,1900,"CIAPIN1"
2409,4318,2532,3600,3061,3053,2370,4646,"SPPL2B"
398,340,461,407,440,532,507,426,"FAM214B"
12,9,19,13,17,28,17,8,"COPZ2"
1049,1415,793,1353,830,1196,959,1605,"PRKAR2B"
754,1403,618,1432,820,1016,768,1729,"MSL3"
2935,3929,2171,3946,2947,3676,3272,5533,"CREBBP"
988,1807,798,1521,1279,1345,852,1637,"TSPOAP1"
0,0,2,0,1,0,0,0,"MPO"
0,2,4,2,3,0,2,2,"PON1"
437,983,341,991,526,583,492,1179,"GCFC2"
80,209,58,158,96,88,82,204,"WDR54"
191,350,145,303,224,277,192,352,"CROT"
1,0,1,0,1,2,0,0,"ABCB4"
2849,6546,1937,6201,2756,3168,2563,6424,"KMT2E"
1299,2312,1512,1932,1761,1590,1197,2509,"RHBDD2"
38,34,51,28,21,28,42,55,"SOX8"
658,1251,507,1348,712,953,631,1516,"IBTK"
1587,1876,1011,2118,1327,1970,1535,2256,"ZNF195"
1561,1884,944,2135,1363,1644,1347,2397,"MYCBP2"
1086,1828,917,2281,1312,1595,1295,2388,"FBXL3"
25,8,12,23,12,6,20,9,"ITGAL"
421,446,374,459,402,449,396,650,"PDK2"
436,544,340,621,452,598,390,659,"ITGA3"
475,700,343,831,400,595,511,895,"ZFX"
3852,5184,3321,5695,3861,5181,4047,6013,"LAMP2"
213,393,218,317,265,310,198,442,"ITGA2B"
2,3,1,1,4,3,0,1,"ASB4"
1228,1974,1199,2168,1415,1725,1259,2690,"GDE1"
790,1265,813,1258,962,988,871,1535,"REX1BD"
83,60,77,87,70,107,88,61,"CRLF1"
329,407,286,373,411,430,308,502,"OSBPL7"
898,1492,894,1638,1137,1308,921,2072,"TMEM98"
290,548,194,314,265,428,172,377,"YBX2"
0,0,0,3,0,0,0,0,"KRT33A"
459,623,427,732,540,514,444,972,"MAP3K14"
2,0,1,0,0,1,1,1,"ABCC8"
0,0,0,0,0,0,0,0,"CACNG3"
7421,10910,7302,9653,8727,9003,7427,12126,"TMEM132A"
1834,4757,1240,4989,1904,2572,2204,5772,"AP2B1"
3,1,3,3,1,0,3,3,"TAC1"
824,1160,724,1338,1009,1118,901,1700,"ZNF263"
4288,5418,4227,3778,6650,5172,3684,4971,"CX3CL1"
355,622,352,553,494,486,409,620,"SPATA20"
46,15,33,18,23,41,51,14,"CACNA1G"
2205,3749,2450,4037,2614,3199,2574,5163,"TNFRSF12A"
4,0,0,2,4,2,6,1,"DLX6"
919,2178,693,2159,850,1241,849,2214,"MAP3K9"
1157,1591,945,1862,1217,1599,1365,2425,"RALA"
2299,4020,1942,4014,2577,3044,2162,4967,"BAIAP2L1"
574,1802,495,1639,602,675,536,1537,"KDM7A"
20,10,24,20,21,21,43,13,"ETV1"
412,680,321,612,398,509,414,868,"AGK"
185,348,209,285,267,319,178,388,"ALDH3B1"
1108,1435,922,1481,1010,1394,1043,2022,"TTC22"
580,1336,498,1365,719,852,664,1808,"PHTF2"
1,0,3,0,0,0,0,0,"CCL26"
1129,2509,726,2698,1066,1456,1133,2965,"FARP2"
42,65,29,50,39,39,24,26,"USH1C"
603,1047,601,1174,689,817,735,1496,"GGCT"
699,1143,545,1103,751,1025,820,1535,"DBF4"
32,21,48,45,49,60,38,39,"TBXA2R"
1518,1889,1265,2273,1621,1810,1693,2863,"IFRD1"
0,0,0,0,0,0,0,0,"LGALS14"
588,998,466,960,623,741,709,1352,"COX10"
1410,2284,1372,2037,1576,1716,1310,2791,"GTF2IRD1"
722,1106,666,1236,848,991,967,1692,"PAF1"
713,1323,585,1311,693,977,778,1723,"VPS41"
155,164,92,163,177,217,145,221,"ARHGAP44"
1402,2238,1248,2341,1429,1899,1557,3181,"ELAC2"
2,0,7,1,2,4,4,2,"SCIN"
804,1309,656,1334,849,992,798,1482,"ARSD"
65,181,64,186,111,108,65,228,"PNPLA4"
0,10,2,7,154,0,0,0,"MYH13"
3714,6859,3089,7469,3629,4798,3908,9768,"ADIPOR2"
2,14,4,8,10,16,5,11,"CDKL3"
0,1,4,3,1,0,1,1,"UPP2"
0,0,0,0,0,0,0,0,"PRSS21"
852,1245,819,1229,1021,1193,999,1624,"MARK4"
5593,7789,4362,8100,5948,7024,5407,8989,"PROM1"
1911,3160,1876,3467,1917,2578,2246,4734,"CCDC124"
0,0,0,0,0,0,1,0,"CEACAM21"
2708,4435,2336,4834,2839,3482,2890,5736,"PAFAH1B1"
6,2,6,7,4,11,15,5,"NOS2"
4,0,2,0,1,0,0,0,"DNAH9"
4685,8797,3147,9634,3958,5572,4773,11157,"KIAA0100"
21,114,51,86,82,50,24,128,"SLC13A2"
50,34,40,34,36,48,58,44,"GAS7"
252,603,265,507,325,375,266,702,"TRAPPC6A"
770,1318,724,1422,779,1036,851,2637,"MATK"
0,0,0,0,0,0,0,0,"CEACAM7"
61,25,49,39,41,67,45,54,"CD79B"
3,1,1,0,3,2,0,3,"SCN4A"
448,590,362,675,509,613,467,760,"ST7L"
1,1,0,0,1,0,0,0,"TKTL1"
66,91,44,67,74,154,98,39,"PAX6"
631,856,611,857,669,773,643,1347,"RPUSD1"
2245,4311,2319,3554,3010,3081,2164,4857,"RHBDF1"
821,1149,802,1267,949,1026,893,1847,"LUC7L"
18,20,10,17,17,21,13,23,"CACNA2D2"
41,39,52,45,51,55,37,70,"BAIAP3"
985,1472,1122,1462,1129,1211,1051,2060,"TSR3"
801,1012,803,953,951,960,763,1103,"PIGQ"
900,1218,781,1158,972,1075,869,1597,"CRAMP1"
1125,1534,1134,1716,1342,1510,1095,2100,"TEAD3"
144,88,83,19,297,70,87,17,"SELE"
2483,3258,2178,3561,2762,2937,2638,4667,"DNAJC11"
2,4,5,5,5,14,3,5,"FMO3"
425,128,369,150,461,479,385,210,"MYLIP"
0,1,0,0,0,0,0,0,"NOX1"
1674,2428,1516,2378,1585,2478,2268,3478,"E2F2"
5041,9609,4508,9289,5671,6582,5902,13103,"PSMB1"
16,30,11,10,21,21,10,13,"SYN1"
926,2164,793,2368,1032,1087,1046,2487,"JARID2"
288,448,170,577,243,354,297,544,"CDKL5"
13,3,5,1,20,18,15,4,"CAMK1G"
67,119,72,96,90,109,75,158,"CDK11A"
3688,5664,3496,5644,4398,4697,3818,7392,"NADK"
0,0,0,0,0,0,2,2,"TFAP2B"
0,0,0,0,0,0,1,0,"TFAP2D"
42,81,62,107,66,76,37,104,"DLEC1"
625,1322,500,1336,634,927,670,1651,"CYTH3"
50,50,41,49,56,62,54,96,"ADAM22"
3140,5177,2781,5147,3433,4257,2945,6147,"SYPL1"
2063,3270,1859,3489,2338,2799,2133,4262,"CYB561"
921,1347,675,1608,828,1008,980,1788,"SPAG9"
683,1124,527,1012,597,800,668,1290,"CELSR3"
34,57,14,52,37,32,16,48,"AASS"
2211,2898,1849,3122,2565,2737,2070,3375,"PLEKHG6"
314,485,307,539,347,425,327,642,"SS18L2"
386,675,373,741,448,552,462,949,"MPND"
9571,14044,8824,17299,10942,12976,10039,20636,"MGST1"
668,1212,521,1568,747,1196,849,1811,"CRY1"
0,0,0,0,2,3,3,1,"PGLYRP1"
11068,18641,10707,17893,12294,13827,12170,23755,"NFIX"
2745,2489,2054,3090,2630,3082,2290,2935,"ST3GAL1"
581,1258,586,1330,660,729,661,1703,"MMP25"
3377,3562,3117,4219,3529,4061,3486,5191,"IL32"
3459,4555,3002,3971,3316,4115,3401,5738,"PKD1"
805,867,593,545,707,738,578,782,"MAPK8IP2"
1860,2566,1671,2416,2094,2203,1863,3305,"MED24"
314,359,236,382,338,455,311,488,"RHOBTB2"
723,1596,539,1592,706,963,713,2043,"HEATR5B"
3037,4167,2632,4948,3291,4076,3392,5979,"SEC62"
4765,10929,4615,10200,5317,6757,5048,14109,"RPS20"
12612,27595,10904,32748,14705,19733,17091,39969,"CSDE1"
2208,3894,1712,3468,2305,2913,2214,4748,"UBE3C"
471,1200,348,1309,508,694,525,1424,"REV3L"
0,0,0,0,0,0,0,0,"TENM1"
0,0,0,0,1,1,0,0,"PAX7"
6,15,7,3,6,6,5,19,"MASP2"
7,7,6,3,3,2,2,3,"IYD"
254,429,225,439,267,325,252,474,"FAM76A"
46,28,23,30,13,30,43,32,"TRAF3IP3"
766,1068,589,1138,781,1128,745,1564,"POMT2"
2477,4055,1838,4403,2627,3373,2550,5237,"VTA1"
283,778,272,631,324,346,220,961,"MLXIPL"
5685,9184,3314,9286,4721,6622,5257,12110,"BAZ1B"
1428,1737,1412,1802,1556,1592,1621,2336,"RANBP9"
331,139,233,149,364,255,266,127,"ETV7"
361,641,269,694,337,532,459,889,"SPRTN"
2041,2708,1623,2797,2046,2804,2132,3887,"EEF1AKNMT"
454,793,390,796,521,549,465,1069,"DYRK4"
3880,5955,3429,6009,4188,4814,4205,7206,"ZNF207"
2321,4871,2215,4582,2775,3096,2690,6240,"UQCRC1"
525,733,412,879,509,661,530,1149,"STARD3NL"
7672,11818,7276,12862,8410,10648,8217,16378,"CD9"
4,0,0,1,2,0,0,0,"HHATL"
8972,13758,6140,13056,8254,11916,10540,18829,"NCAPD2"
73,29,119,55,105,122,137,93,"IFFO1"
25,20,24,24,23,24,31,18,"GIPR"
56,146,53,166,65,74,81,167,"PHF7"
24,49,18,36,21,31,44,22,"SEMA3G"
2843,4392,2516,4344,3081,3492,2664,5566,"NISCH"
49,67,43,39,59,46,52,48,"STAB1"
1,2,3,3,1,2,1,0,"FUZ"
2,2,0,1,1,4,1,0,"SLC6A13"
198,393,114,384,191,225,189,387,"IDS"
7,14,13,8,9,11,7,6,"PRSS3"
391,522,360,694,434,517,425,804,"ZNF200"
38,46,33,37,33,39,29,25,"CD4"
137,385,105,335,184,228,169,340,"LRRC23"
58,35,33,19,48,52,44,36,"BTK"
284,512,196,459,339,359,215,596,"HFE"
1906,3329,1772,3573,2234,2528,1931,4510,"SCMH1"
316,148,444,381,374,397,486,253,"FYN"
1270,2009,894,2338,1404,1459,1233,2442,"HIVEP2"
1,0,0,0,0,1,0,2,"FMO1"
2064,2805,1627,3028,2127,2571,2081,3986,"ELOA"
