"logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol","status"
-1.81052799064908,6.54201483764133,-17.9587204906411,7.07410048037677e-30,1.06033692100367e-25,56.850800010284,"SQLE","Down"
-1.2552389970134,6.52510066324765,-14.6810832874689,1.81603865231419e-24,1.20415536025991e-20,44.9334075795749,"IDI1","Down"
-1.16033917245155,5.47095974541019,-14.610551400261,2.41007811113466e-24,1.20415536025991e-20,44.383068426139,"HMGCR","Down"
-0.98938726456032,7.91239008825225,-13.8717063365658,4.85196010895665e-23,1.68586309732287e-19,41.8625306071041,"FDPS","Down"
-2.69084678263936,4.30533352877128,-13.8358120056026,5.62366768070875e-23,1.68586309732287e-19,41.4484321424447,"LDLR","Down"
-2.24796919145752,5.90114309301856,-13.2962639013806,5.27112899365937e-22,1.31681587476601e-18,39.0350816942253,"INSIG1","Down"
-1.50908037638002,5.70886843846174,-13.0500265532588,1.48103550250462e-21,3.1713201638631e-18,38.4613259120125,"ACAT2","Down"
2.62207000011747,2.38108897306653,12.8522211921835,3.41394802350459e-21,6.39645836553879e-18,36.9740074134446,"ABCA1","Up"
-1.71795200390182,3.5915214149345,-12.5093733698778,1.46757809810315e-20,2.44416979027423e-17,36.0709646683512,"FADS1","Down"
-1.43020080777564,4.56449514120248,-12.3151068066053,3.3733457455246e-20,5.05630793796682e-17,35.1906109840915,"PDK1","Down"
-1.92894100007872,6.12726895715252,-11.8207779177278,2.85729863123519e-19,3.89345901668948e-16,32.9698666986185,"SCD","Down"
3.12110401845132,0.994263669330737,11.265014788681,3.25300134385128e-18,4.05638304548971e-15,30.5468009835875,"HOPX","Up"
-1.16397198924058,4.82560018772692,-11.2472262210598,3.51811192150018e-18,4.05638304548971e-15,30.8800388256732,"FADS2","Down"
-0.989801965569664,2.61995817529506,-10.9712162509383,1.19084790317851e-17,1.27497280148163e-14,29.5741931697477,"SREBF2","Down"
0.804961137130514,3.69899830176026,10.9324286853869,1.41419033619301e-17,1.4131532632798e-14,29.5875307110795,"JUNB","Up"
-2.39163845008309,3.82898350114847,-10.8612962014143,1.93890365151225e-17,1.81638917703232e-14,28.6988918067096,"TET1","Down"
1.578099437514,1.52846076926206,10.7780493116111,2.80658739527325e-17,2.47458461575004e-14,28.8431437267374,"NCCRP1","Up"
1.86299317400234,6.69733772291337,10.5634132623401,7.30178168611281e-17,5.77590722961545e-14,27.9750931262115,"SLPI","Up"
-1.10081968018397,0.0101632960046909,-10.562808451094,7.32151827091157e-17,5.77590722961545e-14,27.8940158186294,"MVD","Down"
-0.704469959446628,2.6292387911331,-10.5315987590334,8.41610567295675e-17,6.30745039659743e-14,27.7408810962111,"HSD17B7","Down"
-1.11949479433057,5.45365504868487,-10.4252756384143,1.35359123533001e-16,9.6614185839817e-14,27.2654475282494,"HMGCS1","Down"
1.1466725389277,0.0336464686656573,10.3621056861901,1.79584761866171e-16,1.22354363436911e-13,27.051968901519,"SYNPO2","Up"
-0.477647311025587,8.9226331026347,-10.3399779332852,1.98292978299469e-16,1.2922667181438e-13,26.9924832556844,"PEBP1","Not Sig"
-0.712588437351678,4.71020375914726,-10.1686718642074,4.27539420909088e-16,2.67016182500264e-13,26.231056352295,"LARP1B","Down"
0.233623673868593,4.77582530481296,10.0069221185311,8.84648434837591e-16,5.30399815591226e-13,25.5064941288721,"CALM2","Not Sig"
-1.46652335858462,1.89478856714959,-9.90658177823645,1.38996476061552e-15,8.01314684494847e-13,25.0302963411874,"STC1","Down"
0.451135596936618,3.74207477388263,9.7904890766877,2.34603941204658e-15,1.30239943508023e-12,24.5696031157083,"EIF4A2","Not Sig"
0.437480495897596,-0.146848862170099,9.73634288171841,2.99546317875079e-15,1.60353562808199e-12,24.0939664277789,"GGT7","Not Sig"
